standard,subject,term,chapterNo,chapterName,minSessions,topics,sequence
STD 10,Maths,Term 2,7,Real Numbers,10,"Euclid's Division, Fundamental Theorem, HCF-LCM",1
STD 10,Maths,Term 2,8,Polynomials,12,"Zeroes, Relationships, Division Algorithm",2
STD 10,Maths,Term 2,9,Linear Equations,11,"Pair of Linear Equations, Graphical Method, Algebraic Methods",3
STD 10,Maths,Term 2,10,Quadratic Equations,14,"Standard Form, Factorization, Quadratic Formula, Nature of Roots",4
STD 10,Maths,Term 2,11,Arithmetic Progressions,10,"AP, nth term, Sum of n terms, Word Problems",5
STD 10,Maths,Term 2,12,Triangles,13,"Similar Triangles, Pythagoras Theorem, Areas",6
STD 10,Physics,Term 2,5,Light - Reflection,14,"Laws of Reflection, Spherical Mirrors, Mirror Formula, Sign Convention",1
STD 10,Physics,Term 2,6,Light - Refraction,15,"Laws of Refraction, Lenses, Lens Formula, Power",2
STD 10,Physics,Term 2,7,Human Eye,8,"Structure, Defects, Correction, Optical Instruments",3
STD 10,Physics,Term 2,8,Electricity,16,"Current, Potential Difference, Ohm's Law, Series-Parallel Circuits, Heating Effect",4
STD 10,Physics,Term 2,9,Magnetic Effects,12,"Magnetic Field, Electromagnetic Induction, Motor, Generator",5
STD 10,Chemistry,Term 2,5,Chemical Reactions,12,"Types, Balancing, Oxidation-Reduction",1
STD 10,Chemistry,Term 2,6,Acids Bases Salts,14,"Properties, pH Scale, Indicators, Neutralization, Salt Preparation",2
STD 10,Chemistry,Term 2,7,Metals & Non-metals,13,"Physical Properties, Reactions, Extraction, Corrosion",3
STD 10,Chemistry,Term 2,8,Carbon Compounds,15,"Covalent Bonding, Nomenclature, Homologous Series, Functional Groups",4
STD 10,Chemistry,Term 2,9,Periodic Classification,10,"Mendeleev, Modern Periodic Table, Trends, Groups",5
STD 10,Biology,Term 2,5,Life Processes,14,"Nutrition, Respiration, Transportation, Excretion",1
STD 10,Biology,Term 2,6,Control & Coordination,13,"Nervous System, Reflex Action, Hormones, Plant Movements",2
STD 10,Biology,Term 2,7,Reproduction,12,"Asexual, Sexual, Reproductive Systems, Contraception",3
STD 10,Biology,Term 2,8,Heredity & Evolution,11,"Mendel's Laws, Genetics, Evolution, Speciation",4
STD 10,Biology,Term 2,9,Environment,8,"Ecosystem, Food Chain, Ozone, Waste Management",5
STD 10,English,Term 2,5,A Letter to God,8,"Story Analysis, Character Study, Themes",1
